Dia no laboral,x,y,dc,dmc,ffmc,isi,ndvi,temperatura,humedad,viento,precipitaciones,Dia_0.0,Dia_1.0,Dia_2.0,Dia_3.0,Dia_4.0,Dia_5.0,Dia_6.0,Mes_1.0,Mes_2.0,Mes_3.0,Mes_4.0,Mes_5.0,Mes_6.0,Mes_7.0,Mes_8.0,Mes_9.0,Mes_10.0,Mes_11.0,Mes_12.0,Hora_0-8,Hora_8-16,Hora_16-23,elevacion
0.0,12,1,79.965454,10.073426,65.134094,1.3100785,0.1133000031113624,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.999231339
0.0,13,1,79.965454,10.073426,65.134094,1.3100785,0.1133000031113624,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5.097576141
0.0,14,1,79.965454,10.073426,65.134094,1.3100785,0.0958999991416931,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.482892036
0.0,15,1,79.965454,10.073426,65.134094,1.3100785,0.1026999950408935,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.986666679
0.0,16,1,79.965454,10.073426,65.134094,1.3100785,0.0958999991416931,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.006889312
0.0,17,1,79.965454,10.073426,65.134094,1.3100785,0.1026999950408935,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0.0,18,1,79.965454,10.073426,65.134094,1.3100785,0.0883999988436698,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0.0,19,1,79.965454,10.073426,65.134094,1.3100785,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0.0,20,1,79.965454,10.073426,65.134094,1.3100785,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0
0.0,21,1,79.965454,10.073426,65.134094,1.3100785,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.068826817
0.0,22,1,79.965454,10.073426,65.134094,1.3100785,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.166493729
0.0,23,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.351050228
0.0,24,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.56980747
0.0,25,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.847621322
0.0,26,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.218339682
0.0,27,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.669190526
0.0,28,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2.165877581
0.0,29,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-2.636315346
0.0,30,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-3.148282528
0.0,31,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-3.747293949
0.0,32,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-4.463221073
0.0,33,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-5.263531685
0.0,34,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-6.332481384
0.0,35,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-7.274166107
0.0,36,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-7.987742901
0.0,37,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.548678398
0.0,38,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.915866852
0.0,39,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.245279312
0.0,40,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.421442986
0.0,41,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-9.364010811
0.0,42,1,73.73164,9.5638,64.38648,1.2706513,0.0,23.0,52.0,20.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-8.926153183
