dia_no_laboral,x,y,dc,dmc,ffmc,isi,ndvi,elevacion,temperatura,humedad,viento,precipitaciones,superficie,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,hora_0-8,hora_8-16,hora_16-23
1,28,33,161.89189,34.03412,85.19262,10.016652,0.370299995,14.67154884,19.8,81,17,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,53,48,181.33089,37.753044,84.62793,4.054208,0.715600014,13.08692741,19,86,7.5,0.3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,36,42,167.3951,20.789951,57.144985,0.71091557,0.70539999,18.30460739,21,91,9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,24,36,166.1645,11.269415,81.128235,1.8312618,0.4921,8.742839813,15.7,80,9.5,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,24,36,155.85829,6.627119,82.855736,4.7004457,0.4921,8.742839813,15.7,70,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,19,28,129.84288,3.6562576,47.698605,0.6938599,0.469900012,8.986168861,18.1,89.5,9.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,26,42,114.16501,3.4655201,44.942375,0.4641137,0.67809999,2.839743137,18.1,89.5,9.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,25,37,110.41407,4.8746057,82.73799,4.3602366,0.58039999,7.949850082,15.8,66,15,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,24,36,71.02916,4.9785395,84.5952,4.096894,0.369500011,8.742839813,12.5,77,7.5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,24,36,85.25844,6.056807,79.94616,11.820148,0.369500011,8.742839813,9.5,83.5,26,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,46,38,97.646614,6.321943,80.329605,2.6737475,0,8.125433922,12.5,71,15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,24,42,97.646614,6.321943,80.329605,2.6737475,0.533999979,2.869022369,10.15,78,9.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,23,42,105.22728,8.111729,82.09083,3.099831,0.513999999,2.62698555,9.35,73.5,10.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,24,36,99.41977,6.8550086,82.038185,3.0800428,0.369500011,8.742839813,9.35,73.5,10.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,29,28,99.41977,6.8550086,82.038185,3.0800428,0.210899994,14.2814846,10,68,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,46,38,103.658226,7.997274,82.93741,2.5415554,0.587899983,8.125433922,15.2,72,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,50,45,80.722984,10.932196,82.97972,2.670705,0.712400019,15.16657352,14.2,76,7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,43,40,111.88017,7.3689365,80.40741,2.7134383,0.584399998,16.33844757,10.6,72,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,18,27,118.709625,8.612401,75.392296,0.99300975,0.404900014,9.394504547,10.8,73,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,37,37,115.68842,8.334693,81.224205,2.064338,0.387699991,19.01463127,13.8,70,6,0.7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,25,37,114.20112,5.5762463,54.168495,0.56492037,0.560299993,7.949850082,10.3,81,7.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,29,36,18.618488,3.1597028,79.96943,3.8302374,0.571799994,14.30450821,10.8,67,19,0.2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,42,37,25.564882,4.463821,81.15477,1.8844187,0.294,20.01086426,13.8,64,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,33,24,28.670021,4.88859,80.344376,2.0227668,0.452699989,8,7.85,87.5,4.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,24,36,33.11479,5.9140444,82.0124,2.4201155,0.358099997,8.742839813,5.9,81,7.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,26,35,43.667095,7.719013,80.54978,4.8474092,0.587700009,13.99965,8.5,85,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,24,32,32.831444,3.72922,35.659657,0.05089024,0.458000004,14,12.6,81,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,24,36,35.990288,0.7423082,64.25454,1.1180146,0.4375,8.742839813,8.6,89,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,46,38,38.865555,1.2644364,76.5456,2.3768291,0,9.360298157,7.8,89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,28,33,36.576683,2.6836233,67.19992,2.6820855,0.441799998,13.15119553,10.2,76,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,36,42,4.007785,1.3890353,64.898315,0.89443463,0.547999978,18.80926323,6.8,83,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,24,36,6.391791,0.7788006,45.96219,0.19722745,0.391799986,8.742839813,9.55,92.5,15.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,24,36,10.694822,1.0593995,68.55755,1.4863607,0.391799986,8.742839813,9.2,83,10.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,32,40,14.31493,2.8064346,70.28609,1.8332849,0.493400007,17.99553299,12.8,66,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,24,36,16.574585,3.5446374,76.1986,4.396632,0.323100001,8.742839813,12.1,67,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,18,20,17.293646,3.5584624,76.52096,4.4931326,0.737900019,20.30696106,8,90,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,24,36,16.574585,3.5446374,76.1986,4.396632,0.323100001,8.742839813,12.1,67,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,22,29,15.426353,3.2719526,79.836075,2.8665571,0.287,12.07546425,12,44,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,52,49,27.461525,6.8681917,83.98863,9.86462,0.612600029,13.66982079,7.5,62,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,34,41,21.532862,4.790137,83.83158,9.660869,0.453000009,16.97412491,6.1,66,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,29,36,21.532862,4.790137,83.83158,9.660869,0.510299981,14.30450821,7.2,63.5,24.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,24,36,24.709505,5.8161798,83.80231,4.6972766,0.323100001,8.742839813,12,66,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,24,36,24.709505,5.8161798,83.80231,4.6972766,0.323100001,8.742839813,12,66,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,4,10,24.394033,6.3491554,83.80134,4.691668,0.582599998,21.06542206,20.1,36,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,46,44,42.989796,8.476784,64.4032,1.0265026,0.577400029,17.32969856,10.45,74,16.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,24,15,45.106762,9.146862,82.41315,4.591198,0.653599977,16.69400406,12.55,74,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,24,36,45.106762,9.146862,82.41315,4.591198,0.327600002,8.742839813,12.55,74,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,43,40,48.464764,11.02972,85.17378,3.577958,0.507200003,16.81660271,0,100,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,26,35,6.309361,1.6698445,64.85328,1.3766683,0.487500012,13.99965,20.6,54,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,24,42,18.70694,4.032717,82.33442,3.7883298,0.637499988,2.869022369,15.8,76,33,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,26,35,24.630966,6.817559,85.340416,3.6651628,0.487500012,13.99965,17.7,40,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,52,47,20.670418,6.566192,85.17845,3.583959,0.592800021,13.04226398,10.7,88,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,31,34,27.228231,8.129673,85.93185,0,0.364800006,16,19,40,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,23,28,23.062302,7.8312926,85.92892,0,0.541899979,14.18172264,18,37,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,24,36,43.587273,13.235855,79.94844,3.3843176,0.385199994,8.742839813,15.3,76.5,16.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,38,42,43.587273,13.235855,79.94844,3.3843176,0.479499996,18.86857033,14.4,78,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,37,29,63.369106,13.5981245,83.35743,2.6651392,0.527499974,7.957395077,25.2,44,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,24,36,65.6534,10.20853,73.79535,1.4347702,0.385199994,8.742839813,16.6,63,13,0.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,24,36,21.473028,3.4210715,48.502804,1.0452279,0.317999989,8.742839813,12.3,79.5,38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,26,33,28.592012,5.355737,78.90834,1.904963,0.39289999,13.26121998,17.6,59,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,22,33,50.92065,10.516507,85.75968,13.946427,0.348699987,11.57359219,21.5,43,41,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,25,37,77.63413,13.642642,86.53744,6.9500337,0.506799996,7.949850082,20.8,42,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,13,21,75.78245,16.48771,70.840645,2.3719685,0.514299989,10.92961025,14.6,80,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,48,44,105.69209,15.991018,87.72142,11.014146,0.572700024,15.86224842,14,55,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,44,36,110.48289,17.747618,87.58382,6.192481,0,5.361890316,18.6,63,15,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,30,21,113.61497,13.964478,82.67881,3.7102084,0.486400008,6.43936491,23.8,42,13,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,45,41,113.61497,13.964478,82.67881,3.7102084,0.56309998,14.18506527,19.4,77,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,48,40,113.61497,13.964478,82.67881,3.7102084,0.531099975,7.605889797,19.4,77,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,24,36,90.32847,11.325272,82.94675,1.8954564,0.305000007,8.742839813,17.95,43.5,8.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,50,44,78.77893,11.1657295,82.66445,1.828862,0.605000019,14.84799957,18.8,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,51,49,78.77893,11.1657295,82.66445,1.828862,0.651199996,14.81527996,20.7,33,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,52,45,88.98428,14.865687,87.81973,3.4585698,0.562999964,8.245317459,20,35,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,47,44,88.98428,14.865687,87.81973,3.4585698,0.547900021,17.44358063,20,35,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,35,41,106.9575,15.455063,88.08853,8.285075,0.387199998,16.42024612,24,39,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,32,29,106.9575,15.455063,88.08853,8.285075,0.414900005,14.98215961,23.8,52,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,30,35,113.60294,18.171661,88.28874,8.107348,0.345600009,16.37651253,20.4,70,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,30,35,113.60294,18.171661,88.28874,8.107348,0.345600009,16.37651253,20,69,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,46,44,102.053406,20.363268,88.72784,8.634663,0.547900021,17.32969856,11,80,37,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,46,44,107.07798,21.514364,86.08008,9.203774,0.547900021,17.32969856,14.6,57,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,27,31,124.33263,21.525486,87.30188,5.042078,0.325500011,14.37976837,18,62,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,27,32,124.33263,21.525486,87.30188,5.042078,0.325500011,14.44634914,19.9,53,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,47,45,146.2121,36.058937,86.26446,6.6002607,0.525600016,19.52484512,20.5,69,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,24,36,170.35152,38.99033,89.00571,11.979919,0.305000007,8.742839813,19.1,71,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,44,39,177.51413,42.84403,91.163704,12.200767,0.666199982,12.86840439,28.7,36,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,36,42,185.49362,46.22854,91.10957,13.421435,0.479699999,17.70666504,20,76,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,36,42,186.97255,36.329018,84.627495,4.4949536,0.449099988,17.70666504,26.8,56,10.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,38,42,186.97255,36.329018,84.627495,4.4949536,0.552399993,18.63031769,30,43,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,39,34,186.97255,36.329018,84.627495,4.4949536,0.451400012,14.52992535,33.5,37,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,44,37,186.97255,36.329018,84.627495,4.4949536,0.281899989,8.497777939,33,42,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
